,rno,name,gender,courses,marks1,marks2
0,1,Student1,F,MBA,78,51
1,2,Student2,M,BBA,10,31
2,3,Student3,M,MTECH,41,27
3,4,Student4,M,BTECH,56,50
4,5,Student5,F,MTECH,27,77
5,6,Student6,M,MTECH,73,66
6,7,Student7,M,MTECH,23,9
7,8,Student8,F,BBA,3,98
8,9,Student9,M,BBA,48,6
9,10,Student10,F,MTECH,92,48
10,11,Student11,M,BBA,51,96
11,12,Student12,M,BBA,40,48
12,13,Student13,F,MTECH,98,23
13,14,Student14,F,BBA,23,3
14,15,Student15,M,MBA,0,56
15,16,Student16,F,BTECH,1,1
16,17,Student17,F,BTECH,64,14
17,18,Student18,M,BTECH,27,91
18,19,Student19,M,MBA,37,72
19,20,Student20,F,BBA,54,82
20,21,Student21,F,BTECH,11,21
21,22,Student22,M,MBA,30,95
22,23,Student23,M,BTECH,14,20
23,24,Student24,M,MTECH,76,26
24,25,Student25,M,BTECH,65,79
25,26,Student26,M,MBA,45,80
26,27,Student27,M,MBA,55,94
27,28,Student28,M,MTECH,17,27
28,29,Student29,M,MBA,86,38
29,30,Student30,F,MTECH,22,48
30,31,Student31,M,BBA,80,48
31,32,Student32,M,MTECH,70,86
32,33,Student33,M,MTECH,29,63
33,34,Student34,M,MBA,36,22
34,35,Student35,F,MBA,72,100
35,36,Student36,M,MBA,69,64
36,37,Student37,M,MBA,1,90
37,38,Student38,M,BBA,60,41
38,39,Student39,F,BTECH,87,64
39,40,Student40,M,BBA,72,98
40,41,Student41,M,MTECH,19,45
41,42,Student42,F,BTECH,13,36
42,43,Student43,F,BTECH,33,37
43,44,Student44,M,MBA,28,94
44,45,Student45,F,MBA,8,69
45,46,Student46,F,MBA,59,49
46,47,Student47,M,MTECH,88,53
47,48,Student48,F,MTECH,59,56
48,49,Student49,F,BTECH,5,37
49,50,Student50,F,BTECH,8,15
50,51,Student51,M,BTECH,23,58
51,52,Student52,M,BBA,45,60
52,53,Student53,M,BTECH,1,4
53,54,Student54,F,MBA,78,84
54,55,Student55,M,BTECH,68,95
55,56,Student56,F,MBA,4,10
56,57,Student57,F,MBA,56,71
57,58,Student58,M,BTECH,37,93
58,59,Student59,F,BTECH,77,88
59,60,Student60,F,MTECH,34,39
60,61,Student61,M,BBA,76,82
61,62,Student62,F,MBA,75,6
62,63,Student63,F,BTECH,12,71
63,64,Student64,F,MTECH,79,78
64,65,Student65,F,BTECH,43,38
65,66,Student66,M,MTECH,6,43
66,67,Student67,M,BTECH,48,25
67,68,Student68,M,BBA,78,2
68,69,Student69,M,MTECH,79,3
69,70,Student70,M,BBA,90,92
70,71,Student71,M,BBA,22,51
71,72,Student72,M,MBA,72,50
72,73,Student73,F,BBA,14,71
73,74,Student74,F,BTECH,89,22
74,75,Student75,F,BTECH,86,8
75,76,Student76,M,BTECH,16,0
76,77,Student77,F,MBA,8,25
77,78,Student78,M,BBA,20,45
